datetime,portfolio_value,cash,positions,return
2023-12-15 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2023-12-16 09:30:00-05:00,100000.0,95305.10009765625,"[{'asset': USD, 'quantity': 95305.10009765625}, {'asset': SPY, 'quantity': 10.0}]",0.0
2023-12-18 09:30:00-05:00,100033.96020751953,95324.16009765625,"[{'asset': USD, 'quantity': 95324.16009765625}, {'asset': SPY, 'quantity': 10.0}]",0.00033960207519534436
2023-12-19 09:30:00-05:00,100049.46008544922,95324.16009765625,"[{'asset': USD, 'quantity': 95324.16009765625}, {'asset': SPY, 'quantity': 10.0}]",0.00015494615925959465
2023-12-20 09:30:00-05:00,100063.76001220703,95324.16009765625,"[{'asset': USD, 'quantity': 95324.16009765625}, {'asset': SPY, 'quantity': 10.0}]",0.00014292857498277023
2023-12-21 09:30:00-05:00,100037.4599633789,95324.16009765625,"[{'asset': USD, 'quantity': 95324.16009765625}, {'asset': SPY, 'quantity': 10.0}]",-0.000262832905988275
2023-12-22 09:30:00-05:00,100062.75995117187,95324.16009765625,"[{'asset': USD, 'quantity': 95324.16009765625}, {'asset': SPY, 'quantity': 10.0}]",0.0002529051397568427
2023-12-23 09:30:00-05:00,100062.75995117187,95324.16009765625,"[{'asset': USD, 'quantity': 95324.16009765625}, {'asset': SPY, 'quantity': 10.0}]",0.0
2023-12-26 09:30:00-05:00,100064.86017089844,95324.16009765625,"[{'asset': USD, 'quantity': 95324.16009765625}, {'asset': SPY, 'quantity': 10.0}]",2.09890245641553e-05
2023-12-27 09:30:00-05:00,100078.56012207031,95324.16009765625,"[{'asset': USD, 'quantity': 95324.16009765625}, {'asset': SPY, 'quantity': 10.0}]",0.00013691071119747988
2023-12-28 09:30:00-05:00,100092.96014648437,95324.16009765625,"[{'asset': USD, 'quantity': 95324.16009765625}, {'asset': SPY, 'quantity': 10.0}]",0.00014388720617586337
2023-12-29 09:30:00-05:00,100089.06,95324.16009765625,"[{'asset': USD, 'quantity': 95324.16009765625}, {'asset': SPY, 'quantity': 10.0}]",-3.8965242697086566e-05
2023-12-30 09:30:00-05:00,100089.06,95324.16009765625,"[{'asset': USD, 'quantity': 95324.16009765625}, {'asset': SPY, 'quantity': 10.0}]",0.0
2024-01-02 09:30:00-05:00,100045.76013427734,95324.16009765625,"[{'asset': USD, 'quantity': 95324.16009765625}, {'asset': SPY, 'quantity': 10.0}]",-0.0004326133717577063
2024-01-03 09:30:00-05:00,100028.46002441406,95324.16009765625,"[{'asset': USD, 'quantity': 95324.16009765625}, {'asset': SPY, 'quantity': 10.0}]",-0.0001729219693075157
2024-01-04 09:30:00-05:00,100007.15997558594,95324.16009765625,"[{'asset': USD, 'quantity': 95324.16009765625}, {'asset': SPY, 'quantity': 10.0}]",-0.00021293988553783283
